Rand_ID,Indivudal,T5,T6,T7,Sum
66,1,3,6,3,12
66,2,3,5,0,8
66,3,2,9,2,13
66,4,4,9,10,23
66,5,3,4,3,10
66,6,4,6,8,18
66,7,3,4,2,9
66,8,2,6,1,9
66,9,3,5,3,11
66,10,3,6,2,11
66,11,4,5,4,13
66,12,3,6,4,13
66,13,4,9,4,17
66,14,3,6,1,10
66,15,3,5,3,11
66,16,1,3,5,9
66,17,3,8,4,15
66,18,2,4,2,8
66,19,2,6,2,10
66,20,1,6,1,8
66,21,4,9,3,16
66,22,1,3,1,5
66,23,2,3,3,8
66,24,1,8,2,11
66,25,1,8,0,9
66,26,2,9,7,18
66,27,4,5,3,12
66,28,3,3,2,8
66,29,5,5,6,16
66,30,4,5,3,12
67,1,3,4,3,10
67,2,3,4,2,9
67,3,2,4,1,7
67,4,2,5,1,8
67,5,4,8,2,14
67,6,3,4,3,10
67,7,2,9,8,19
67,8,5,7,2,14
67,9,2,4,2,8
67,10,3,7,2,12
67,11,3,10,4,17
67,12,3,7,3,13
67,13,1,4,4,9
67,14,4,8,4,16
67,15,2,4,2,8
67,16,4,8,3,15
67,17,4,5,4,13
67,18,4,7,3,14
67,19,3,9,5,17
67,20,3,8,4,15
67,21,3,8,0,11
67,22,3,8,3,14
67,23,2,7,6,15
67,24,1,7,3,11
67,25,2,5,3,10
67,26,3,8,3,14
67,27,2,4,1,7
67,28,3,8,4,15
67,29,2,3,1,6
67,30,3,9,5,17
68,1,2,7,3,12
68,2,3,7,4,14
68,3,2,5,1,8
68,4,2,4,3,9
68,5,2,8,2,12
68,6,3,8,1,12
68,7,2,8,0,10
68,8,1,5,1,7
68,9,2,4,4,10
68,10,3,5,1,9
68,11,2,4,1,7
68,12,2,4,2,8
68,13,3,6,2,11
68,14,2,7,2,11
68,15,2,5,3,10
68,16,3,4,1,8
68,17,1,3,3,7
68,18,3,7,2,12
68,19,2,8,1,11
68,20,3,9,5,17
68,21,2,5,1,8
68,22,2,4,1,7
68,23,2,5,1,8
68,24,2,3,2,7
68,25,3,7,2,12
68,26,3,7,1,11
68,27,2,7,2,11
68,28,2,8,3,13
68,29,3,5,1,9
68,30,4,6,2,12
69,1,2,4,2,8
69,2,2,2,1,5
69,3,3,5,2,10
69,4,1,5,3,9
69,5,1,5,1,7
69,6,2,4,1,7
69,7,2,3,2,7
69,8,3,3,1,7
69,9,1,2,1,4
69,10,3,7,4,14
69,11,2,5,1,8
69,12,3,8,2,13
69,13,2,3,3,8
69,14,2,5,1,8
69,15,1,3,3,7
69,16,2,4,2,8
69,17,3,5,1,9
69,18,2,5,1,8
69,19,2,8,1,11
69,20,2,4,4,10
69,21,2,7,2,11
69,22,3,4,3,10
69,23,1,4,3,8
69,24,2,3,1,6
69,25,2,4,2,8
69,26,5,6,3,14
69,27,2,5,1,8
69,28,2,6,3,11
69,29,3,9,4,16
69,30,2,5,3,10
70,1,2,5,3,10
70,2,2,2,3,7
70,3,2,3,1,6
70,4,2,3,0,5
70,5,2,3,0,5
70,6,3,5,3,11
70,7,3,5,3,11
70,8,3,6,2,11
70,9,3,7,5,15
70,10,3,3,1,7
70,11,2,8,1,11
70,12,2,2,1,5
70,13,3,4,1,8
70,14,2,3,1,6
70,15,3,6,2,11
70,16,1,3,1,5
70,17,1,3,2,6
70,18,2,7,4,13
70,19,2,7,2,11
70,20,3,4,2,9
70,21,4,6,0,10
70,22,4,5,2,11
70,23,1,9,4,14
70,24,1,3,3,7
70,25,1,1,3,5
70,26,2,4,3,9
70,27,4,10,3,17
70,28,5,7,3,15
70,29,1,3,2,6
70,30,3,5,2,10
71,1,2,3,3,8
71,2,4,10,5,19
71,3,3,10,5,18
71,4,2,6,4,12
71,5,3,5,3,11
71,6,3,4,0,7
71,7,3,4,1,8
71,8,2,4,1,7
71,9,2,5,3,10
71,10,3,9,5,17
71,11,3,7,3,13
71,12,3,6,3,12
71,13,3,4,3,10
71,14,4,10,5,19
71,15,1,1,0,2
71,16,2,6,2,10
71,17,3,5,3,11
71,18,4,5,4,13
71,19,3,5,4,12
71,20,3,4,0,7
71,21,2,8,1,11
71,22,2,3,3,8
71,23,4,7,4,15
71,24,2,7,4,13
71,25,3,8,7,18
71,26,3,8,5,16
71,27,3,8,4,15
71,28,4,9,6,19
71,29,3,8,3,14
71,30,3,8,5,16
72,1,1,4,2,7
72,2,1,2,1,4
72,3,1,1,1,3
72,4,2,3,0,5
72,5,2,3,0,5
72,6,1,2,0,3
72,7,2,6,1,9
72,8,2,5,3,10
72,9,3,5,1,9
72,10,1,3,0,4
72,11,2,4,3,9
72,12,1,3,3,7
72,13,2,7,4,13
72,14,1,2,0,3
72,15,1,3,1,5
72,16,2,2,0,4
72,17,3,5,3,11
72,18,1,3,2,6
72,19,2,2,1,5
72,20,3,3,0,6
72,21,2,5,2,9
72,22,1,5,0,6
72,23,2,4,2,8
72,24,2,4,1,7
72,25,2,3,1,6
72,26,3,4,2,9
72,27,2,3,2,7
72,28,2,2,1,5
72,29,3,9,3,15
72,30,1,4,1,6
73,1,2,5,1,8
73,2,2,2,2,6
73,3,3,2,2,7
73,4,4,7,3,14
73,5,2,4,1,7
73,6,3,6,0,9
73,7,3,8,6,17
73,8,2,6,1,9
73,9,4,5,1,10
73,10,2,5,1,8
73,11,3,5,2,10
73,12,2,4,5,11
73,13,2,7,1,10
73,14,2,6,2,10
73,15,2,2,2,6
73,16,2,4,3,9
73,17,2,1,2,5
73,18,1,7,2,10
73,19,2,3,3,8
73,20,2,6,1,9
73,21,3,8,2,13
73,22,2,4,1,7
73,23,3,5,2,10
73,24,4,7,2,13
73,25,3,8,5,16
73,26,2,5,4,11
73,27,2,8,5,15
73,28,2,4,3,9
73,29,2,4,1,7
73,30,2,3,1,6
74,1,1,2,2,5
74,2,1,3,1,5
74,3,2,4,2,8
74,4,2,2,0,4
74,5,3,6,1,10
74,6,3,3,1,7
74,7,2,5,2,9
74,8,2,5,1,8
74,9,2,7,2,11
74,10,2,2,1,5
74,11,2,6,2,10
74,12,3,3,3,9
74,13,3,5,3,11
74,14,2,3,1,6
74,15,2,6,2,10
74,16,2,4,0,6
74,17,3,7,3,13
74,18,0,2,2,4
74,19,3,5,2,10
74,20,2,4,1,7
74,21,2,2,1,5
74,22,3,5,3,11
74,23,3,8,4,15
74,24,1,3,1,5
74,25,2,2,0,4
74,26,2,6,2,10
74,27,2,3,2,7
74,28,2,6,3,11
74,29,3,7,3,13
74,30,2,4,1,7
75,1,3,5,4,12
75,2,2,4,1,7
75,3,2,4,2,8
75,4,2,1,2,5
75,5,3,6,6,15
75,6,3,4,3,10
75,7,4,6,2,12
75,8,2,2,0,4
75,9,3,6,3,12
75,10,1,7,3,11
75,11,2,5,1,8
75,12,2,4,1,7
75,13,2,6,1,9
75,14,2,7,6,15
75,15,2,6,4,12
75,16,2,2,1,5
75,17,3,5,2,10
75,18,2,2,0,4
75,19,2,2,1,5
75,20,2,2,1,5
75,21,3,8,5,16
75,22,2,5,3,10
75,23,2,2,1,5
75,24,4,6,1,11
75,25,2,4,3,9
75,26,2,5,3,10
75,27,3,6,1,10
75,28,3,5,1,9
75,29,2,2,1,5
75,30,2,2,1,5
76,1,2,3,1,6
76,2,3,5,3,11
76,3,2,3,1,6
76,4,2,3,0,5
76,5,2,8,2,12
76,6,2,4,2,8
76,7,2,5,2,9
76,8,4,6,2,12
76,9,1,2,3,6
76,10,2,3,1,6
76,11,2,2,2,6
76,12,2,7,3,12
76,13,2,4,4,10
76,14,2,5,2,9
76,15,2,4,2,8
76,16,2,4,1,7
76,17,2,7,3,12
76,18,2,2,1,5
76,19,3,3,1,7
76,20,2,5,1,8
76,21,2,2,1,5
76,22,2,4,0,6
76,23,2,5,3,10
76,24,1,4,2,7
76,25,2,4,1,7
76,26,2,2,2,6
76,27,1,2,1,4
76,28,2,1,0,3
76,29,2,9,2,13
76,30,3,8,4,15
77,1,2,4,2,8
77,2,3,6,3,12
77,3,1,6,1,8
77,4,3,4,2,9
77,5,2,5,1,8
77,6,2,9,3,14
77,7,3,6,2,11
77,8,2,2,0,4
77,9,3,9,3,15
77,10,1,2,1,4
77,11,2,5,0,7
77,12,4,4,3,11
77,13,3,8,4,15
77,14,4,6,2,12
77,15,2,3,2,7
77,16,2,4,1,7
77,17,2,3,1,6
77,18,3,7,1,11
77,19,2,5,1,8
77,20,2,2,0,4
77,21,2,7,2,11
77,22,1,2,0,3
77,23,2,8,5,15
77,24,2,5,1,8
77,25,2,7,3,12
77,26,3,6,2,11
77,27,2,8,1,11
77,28,2,7,2,11
77,29,2,9,1,12
77,30,2,5,3,10
78,1,2,6,1,9
78,2,3,5,1,9
78,3,3,9,6,18
78,4,4,9,5,18
78,5,2,5,1,8
78,6,2,4,2,8
78,7,2,4,2,8
78,8,2,7,3,12
78,9,3,3,1,7
78,10,2,3,3,8
78,11,2,8,2,12
78,12,4,8,3,15
78,13,2,7,3,12
78,14,2,6,2,10
78,15,2,3,2,7
78,16,2,6,2,10
