Tube#,Indivudal,T5,T6,T7,Sum,
1,1,3,5,4,12,
1,2,2,4,1,7,
1,3,3,6,1,10,
1,4,2,4,2,8,
1,5,3,5,2,10,
1,6,2,4,2,8,
1,7,1,4,2,7,
1,8,2,3,2,7,
1,9,2,6,2,10,
1,10,2,5,4,11,
1,11,1,3,3,7,
1,12,1,2,2,5,
1,13,2,7,2,11,
1,14,2,5,2,9,
1,15,1,3,1,5,
1,16,1,6,4,11,
1,17,1,1,0,2,
1,18,2,6,2,10,
1,19,1,4,2,7,
1,20,2,4,1,7,
1,21,3,5,4,12,
1,22,1,3,0,4,
1,23,1,2,3,6,
1,24,1,2,1,4,
1,25,2,8,3,13,
1,26,2,4,0,6,
1,27,3,4,3,10,
1,28,2,5,2,9,
1,29,1,3,1,5,
1,30,2,3,0,5,
2,1,2,6,4,12,
2,2,2,4,2,8,
2,3,1,3,1,5,
2,4,2,7,5,14,
2,5,2,5,5,12,
2,6,2,3,2,7,
2,7,2,5,2,9,
2,8,2,5,3,10,
2,9,2,4,2,8,
2,10,2,5,3,10,
2,11,2,4,2,8,
2,12,2,3,2,7,
2,13,1,5,2,8,
2,14,2,3,2,7,
2,15,2,5,2,9,
2,16,1,2,1,4,
2,17,1,2,1,4,
2,18,2,4,4,10,
2,19,2,4,3,9,
2,20,2,5,2,9,
2,21,2,5,6,13,
2,22,2,4,2,8,
2,23,1,6,6,13,
2,24,2,3,4,9,
2,25,2,3,4,9,
2,26,2,6,5,13,
2,27,3,6,3,12,
2,28,1,5,3,9,
2,29,1,3,0,4,
2,30,3,7,6,16,
3,1,3,6,2,11,
3,2,2,4,2,8,
3,3,3,8,3,14,
3,4,3,6,4,13,
3,5,3,4,1,8,
3,6,2,6,5,13,
3,7,1,2,3,6,
3,8,2,8,1,11,
3,9,2,9,2,13,
3,10,3,7,3,13,
3,11,2,6,1,9,
3,12,2,4,1,7,
3,13,2,6,0,8,
3,14,2,3,3,8,
3,15,3,9,3,15,
3,16,2,3,3,8,
3,17,4,10,4,18,
3,18,2,3,1,6,
3,19,2,7,2,11,
3,20,3,6,4,13,
3,21,3,9,2,14,
3,22,3,6,4,13,
3,23,2,5,5,12,
3,24,2,3,0,5,
3,25,2,8,1,11,
3,26,2,6,3,11,
3,27,5,9,7,21,
3,28,1,5,1,7,
3,29,1,3,2,6,
3,30,3,10,2,15,
4,1,1,1,1,3,
4,2,1,2,0,3,
4,3,2,3,1,6,
4,4,1,0,0,1,
4,5,1,3,2,6,
4,6,2,4,1,7,
4,7,1,2,1,4,
4,8,1,2,1,4,
4,9,1,1,0,2,
4,10,1,1,0,2,
4,11,1,4,2,7,
4,12,2,3,0,5,
4,13,3,3,3,9,
4,14,2,3,0,5,
4,15,1,3,2,6,
4,16,2,7,6,15,
4,17,2,4,3,9,
4,18,2,2,1,5,
4,19,2,7,5,14,
4,20,3,9,5,17,
4,21,1,2,1,4,
4,22,4,6,0,10,
4,23,1,2,1,4,
4,24,1,3,0,4,
4,25,1,1,1,3,
4,26,2,2,1,5,
4,27,1,1,1,3,
4,28,2,3,0,5,
4,29,2,4,4,10,
4,30,2,3,2,7,
5,1,2,3,0,5,
5,2,1,3,2,6,
5,3,4,6,2,12,
5,4,1,3,1,5,
5,5,4,10,4,18,
