Label,TP,Treatment,Cage,Rand_ID,Sample,Experimenter
TP,3,E,2,1,TP3_E2_1,Caitlynn
TP,3,E,10,2,TP3_E10_2,Caitlynn
TP,7,P,2,3,TP7_P2_3,Caitlynn
TP,8,I,9,4,TP8_I9_4,Caitlynn
TP,13,P,6,5,TP13_P6_5,Caitlynn
TP,7,E,4,6,TP7_E4_6,Caitlynn
TP,3,E,8,7,TP3_E8_7,Caitlynn
TP,8,E,5,8,TP8_E5_8,Caitlynn
TP,8,E,9,9,TP8_E9_9,Caitlynn
TP,7,E,9,10,TP7_E9_10,Caitlynn
TP,3,E,6,11,TP3_E6_11,Caitlynn
TP,2,I,10,12,TP2_I10_12,Caitlynn
TP,3,P,10,13,TP3_P10_13,Caitlynn
TP,13,P,7,14,TP13_P7_14,Caitlynn
TP,2,I,2,15,TP2_I2_15,Caitlynn
TP,8,E,4,16,TP8_E4_16,Caitlynn
TP,9,E,11,17,TP9_E11_17,Caitlynn
TP,2,I,4,18,TP2_I4_18,Caitlynn
TP,9,P,4,19,TP9_P4_19,Caitlynn
TP,8,E,7,20,TP8_E7_20,Caitlynn
TP,2,I,6,21,TP2_I6_21,Caitlynn
TP,7,E,5,22,TP7_E5_22,Caitlynn
TP,3,P,7,23,TP3_P7_23,Caitlynn
TP,2,I,9,24,TP2_I9_24,Caitlynn
TP,2,I,1,25,TP2_I1_25,Caitlynn
TP,2,I,8,26,TP2_I8_26,Caitlynn
TP,7,P,9,27,TP7_P9_27,Caitlynn
TP,3,E,11,28,TP3_E11_28,Caitlynn
TP,9,E,4,29,TP9_E4_29,Caitlynn
TP,8,E,12,30,TP8_E12_30,Caitlynn
TP,9,E,3,31,TP9_E3_31,Caitlynn
TP,3,P,5,32,TP3_P5_32,Caitlynn
TP,8,I,10,33,TP8_I10_33,Caitlynn
TP,2,E,7,34,TP2_E7_34,Caitlynn
TP,8,I,4,35,TP8_I4_35,Caitlynn
TP,3,P,6,36,TP3_P6_36,Caitlynn
TP,2,E,10,37,TP2_E10_37,Caitlynn
TP,13,P,8,38,TP13_P8_38,Caitlynn
TP,3,E,12,39,TP3_E12_39,Caitlynn
TP,7,E,3,40,TP7_E3_40,Caitlynn
TP,7,E,7,41,TP7_E7_41,Caitlynn
TP,9,E,6,42,TP9_E6_42,Caitlynn
TP,9,P,6,43,TP9_P6_43,Caitlynn
TP,2,E,2,44,TP2_E2_44,Caitlynn
TP,13,P,10,45,TP13_P10_45,Caitlynn
TP,7,P,1,46,TP7_P1_46,Caitlynn
TP,9,E,5,47,TP9_E5_47,Caitlynn
TP,13,E,8,48,TP13_E8_48,Caitlynn
TP,2,I,3,49,TP2_I3_49,Caitlynn
TP,8,E,3,50,TP8_E3_50,Caitlynn
TP,2,E,3,51,TP2_E3_51,Caitlynn
TP,13,P,3,52,TP13_P3_52,Caitlynn
TP,7,E,10,53,TP7_E10_53,Caitlynn
TP,9,E,10,54,TP9_E10_54,Caitlynn
TP,8,E,11,55,TP8_E11_55,Caitlynn
TP,3,E,3,56,TP3_E3_56,Caitlynn
TP,13,E,2,57,TP13_E2_57,Caitlynn
TP,13,E,3,58,TP13_E3_58,Caitlynn
TP,2,E,8,59,TP2_E8_59,Caitlynn
TP,9,E,12,60,TP9_E12_60,Caitlynn
TP,9,P,1,61,TP9_P1_61,Caitlynn
TP,3,E,9,62,TP3_E9_62,Caitlynn
TP,13,P,1,63,TP13_P1_63,Caitlynn
TP,7,E,12,64,TP7_E12_64,Caitlynn
TP,8,I,3,65,TP8_I3_65,Caitlynn
TP,2,E,12,66,TP2_E12_66,Andy
TP,9,P,8,67,TP9_P8_67,Andy
TP,2,E,4,68,TP2_E4_68,Andy
TP,3,P,4,69,TP3_P4_69,Andy
TP,7,E,1,70,TP7_E1_70,Andy
TP,9,P,2,71,TP9_P2_71,Andy
TP,8,E,2,72,TP8_E2_72,Andy
TP,9,E,9,73,TP9_E9_73,Andy
TP,8,I,7,74,TP8_I7_74,Andy
TP,3,P,3,75,TP3_P3_75,Andy
TP,8,E,10,76,TP8_E10_76,Andy
TP,7,P,10,77,TP7_P10_77,Andy
TP,8,I,2,78,TP8_I2_78,Andy
TP,2,I,7,79,TP2_I7_79,Andy
TP,13,E,9,80,TP13_E9_80,Andy
TP,2,E,9,81,TP2_E9_81,Andy
TP,3,P,1,82,TP3_P1_82,Andy
TP,9,E,1,83,TP9_E1_83,Andy
TP,3,E,4,84,TP3_E4_84,Andy
TP,7,E,6,85,TP7_E6_85,Andy
TP,8,E,6,86,TP8_E6_86,Andy
TP,9,P,7,87,TP9_P7_87,Andy
TP,7,P,3,88,TP7_P3_88,Andy
TP,7,E,11,89,TP7_E11_89,Andy
TP,9,P,9,90,TP9_P9_90,Andy
TP,2,E,5,91,TP2_E5_91,Andy
TP,13,P,4,92,TP13_P4_92,Andy
TP,3,E,7,93,TP3_E7_93,Andy
TP,7,P,7,94,TP7_P7_94,Andy
TP,7,P,4,95,TP7_P4_95,Andy
TP,8,E,8,96,TP8_E8_96,Andy
TP,2,E,6,97,TP2_E6_97,Andy
TP,7,P,6,98,TP7_P6_98,Andy
TP,13,E,5,99,TP13_E5_99,Andy
TP,7,P,8,100,TP7_P8_100,Andy
TP,7,E,8,101,TP7_E8_101,Andy
TP,13,P,9,102,TP13_P9_102,Andy
TP,13,E,6,103,TP13_E6_103,Andy
TP,13,P,5,104,TP13_P5_104,Andy
TP,2,E,1,105,TP2_E1_105,Andy
TP,9,E,8,106,TP9_E8_106,Andy
TP,7,P,5,107,TP7_P5_107,Andy
TP,13,E,1,108,TP13_E1_108,Andy
TP,3,E,1,109,TP3_E1_109,Andy
TP,9,E,2,110,TP9_E2_110,Andy
TP,3,P,8,111,TP3_P8_111,Andy
TP,2,I,5,112,TP2_I5_112,Andy
TP,8,I,5,113,TP8_I5_113,Andy
TP,9,E,7,114,TP9_E7_114,Andy
TP,3,P,2,115,TP3_P2_115,Andy
TP,13,E,7,116,TP13_E7_116,Andy
TP,13,E,4,117,TP13_E4_117,Andy
TP,13,P,2,118,TP13_P2_118,Andy
TP,2,E,11,119,TP2_E11_119,Andy
TP,7,E,2,120,TP7_E2_120,Andy
TP,13,E,10,121,TP13_E10_121,Andy
TP,8,I,6,122,TP8_I6_122,Andy
TP,8,E,1,123,TP8_E1_123,Andy
TP,9,P,10,124,TP9_P10_124,Andy
TP,8,I,8,125,TP8_I8_125,Andy
TP,9,P,5,126,TP9_P5_126,Andy
TP,8,I,1,127,TP8_I1_127,Andy
TP,9,P,3,128,TP9_P3_128,Andy
TP,3,P,9,129,TP3_P9_129,Andy
